Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum
0,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,0,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,1048622.0000000000,1048622.0000000000,262144,262144,1048576.0000000000,1048576.0000000000,1048617.0000000000,0.0000000000
1,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,1,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,1013601.0000000000,1013601.0000000000,262144,262144,3103125.0000000000,3145728.0000000000,1049089.0000000000,0.0000000000
2,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,2,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,1038911.0000000000,1038911.0000000000,262144,262144,5559302.0000000000,7340032.0000000000,1049647.0000000000,0.0000000000
3,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,3,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,1128409.0000000000,1134562.0000000000,262144,262144,15603464.0000000000,15728640.0000000000,1050657.0000000000,0.0000000000
4,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,4,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,1097345.0000000000,1107036.0000000000,262144,262144,16768755.0000000000,16777216.0000000000,1052400.0000000000,0.0000000000
5,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,5,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,1116233.0000000000,1144973.0000000000,262144,262144,16761538.0000000000,16777216.0000000000,1051794.0000000000,0.0000000000
6,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,6,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,3337936.0000000000,4605624.0000000000,262144,262144,16768252.0000000000,16777216.0000000000,1083664.0000000000,0.0000000000
7,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,7,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,5988034.0000000000,14234678.0000000000,262144,262144,16776336.0000000000,16777216.0000000000,4218177.0000000000,0.0000000000
8,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,8,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,9305185.0000000000,10814642.0000000000,262144,262144,10439248.0000000000,11272192.0000000000,8412969.0000000000,0.0000000000
9,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,9,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,5008659.0000000000,5475220.0000000000,262144,262144,6731048.0000000000,8126464.0000000000,4223020.0000000000,0.0000000000
10,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,10,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,2234737.0000000000,2322829.0000000000,262144,262144,4341166.0000000000,6553600.0000000000,2100948.0000000000,0.0000000000
11,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,11,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,1059197.0000000000,1067337.0000000000,262144,262144,3203712.0000000000,5767168.0000000000,1050265.0000000000,0.0000000000
12,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,12,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,1206308.0000000000,1290017.0000000000,262144,262144,4965660.0000000000,9437184.0000000000,1054435.0000000000,0.0000000000
13,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,13,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,2511111.0000000000,3421646.0000000000,262144,262144,7753002.0000000000,16777216.0000000000,1104671.0000000000,0.0000000000
14,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,14,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,2618293.0000000000,7667520.0000000000,262144,262144,15047772.0000000000,16777216.0000000000,2883378.0000000000,0.0000000000
15,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,15,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,567757.0000000000,13953655.0000000000,262144,262144,16777164.0000000000,16777216.0000000000,10784198.0000000000,0.0000000000
16,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,16,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,40295.0000000000,16535785.0000000000,262144,262144,16777048.0000000000,16777216.0000000000,16536904.0000000000,0.0000000000
17,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,17,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,88.0000000000,16777946.0000000000,262144,262144,16777216.0000000000,16777216.0000000000,16777214.0000000000,0.0000000000
18,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,18,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,0.0000000000,16776896.0000000000,262144,262144,16777216.0000000000,16777216.0000000000,16777217.0000000000,0.0000000000
19,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,19,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,0.0000000000,19040848.0000000000,262144,262144,16777216.0000000000,16777216.0000000000,16777408.0000000000,0.0000000000
20,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,20,24566,24566,16777216,256,0,0,12,4,32,64,0x0,0x1459b10bc740,9154344.0000000000,9499191.0000000000,262144,262144,9437184.0000000000,9437184.0000000000,8412753.0000000000,0.0000000000
